FEATURESsort1	OGNTsort	OpenTextWord_KEY
000769	000769	40.2.16.w35
000770	000770	40.2.16.w36
000771	000771	40.2.16.w37
000772	000772	40.2.17.w1
000773	000773	40.2.17.w2
000774	000774	40.2.17.w3
000775	000775	40.2.17.w4
000776	000776	40.2.17.w5
000777	000777	40.2.17.w6
000778	000778	40.2.17.w7
000779	000779	40.2.17.w8
000780	000780	40.2.17.w9
000781	000781	40.2.18.w1
000782	000782	40.2.18.w2
000783	000783	40.2.18.w3
000784	000784	40.2.18.w4
000785	000785	40.2.18.w5
000786	000786	40.2.18.w6
000787	000787	40.2.18.w7
000788	000788	40.2.18.w8
000789	000789	40.2.18.w9
000790	000790	40.2.18.w10
000791	000791	40.2.18.w11
000792	000792	40.2.18.w12
000793	000793	40.2.18.w13
000794	000794	40.2.18.w14
000795	000795	40.2.18.w15
000796	000796	40.2.18.w16
000797	000797	40.2.18.w17
000798	000798	40.2.18.w18
000799	000799	40.2.18.w19
000800	000800	40.2.18.w20
000801	000801	40.2.19.w1
000802	000802	40.2.19.w2
000803	000803	40.2.19.w3
000804	000804	40.2.19.w4
000805	000805	40.2.19.w5
000806	000806	40.2.19.w6
000807	000807	40.2.19.w7
000808	000808	40.2.19.w8
000809	000809	40.2.19.w9
000810	000810	40.2.19.w10
000811	000811	40.2.19.w11
000812	000812	40.2.19.w12
000813	000813	40.2.19.w13
000814	000814	40.2.19.w14
000815	000815	40.2.20.w1
000816	000816	40.2.20.w2
000817	000817	40.2.20.w3
000818	000818	40.2.20.w4
000819	000819	40.2.20.w5
000820	000820	40.2.20.w6
000821	000821	40.2.20.w7
000822	000822	40.2.20.w8
000823	000823	40.2.20.w9
000824	000824	40.2.20.w10
000825	000825	40.2.20.w11
000826	000826	40.2.20.w12
000827	000827	40.2.20.w13
000828	000828	40.2.20.w14
000829	000829	40.2.20.w15
000830	000830	40.2.20.w16
000831	000831	40.2.20.w17
000832	000832	40.2.20.w18
000833	000833	40.2.20.w19
000834	000834	40.2.20.w20
000835	000835	40.2.20.w21
000836	000836	40.2.20.w22
000837	000837	40.2.21.w1
000838	000838	40.2.21.w2
000839	000839	40.2.21.w3
000840	000840	40.2.21.w4
000841	000841	40.2.21.w5
000842	000842	40.2.21.w6
000843	000843	40.2.21.w7
000844	000844	40.2.21.w8
000845	000845	40.2.21.w9
000846	000846	40.2.21.w10
000847	000847	40.2.21.w11
000848	000848	40.2.21.w12
000849	000849	40.2.21.w13
000850	000850	40.2.21.w14
000851	000851	40.2.21.w15
000852	000852	40.2.22.w1
000853	000853	40.2.22.w2
000854	000854	40.2.22.w3
000855	000855	40.2.22.w4
000856	000856	40.2.22.w5
000857	000857	40.2.22.w6
000858	000858	40.2.22.w7
000859	000859	40.2.22.w8
000860	000860	40.2.22.w9
000861	000861	40.2.22.w10
000862	000862	40.2.22.w11
000863	000863	40.2.22.w12
000864	000864	40.2.22.w13
000865	000865	40.2.22.w14
000866	000866	40.2.22.w15
000867	000867	40.2.22.w16
000868	000868	40.2.22.w17
000869	000869	40.2.22.w18
000870	000870	40.2.22.w19
000871	000871	40.2.22.w20
000872	000872	40.2.22.w21
000873	000873	40.2.22.w22
000874	000874	40.2.22.w23
000875	000875	40.2.22.w24
000876	000876	40.2.22.w25
000877	000877	40.2.23.w1
000878	000878	40.2.23.w2
000879	000879	40.2.23.w3
000880	000880	40.2.23.w4
000881	000881	40.2.23.w5
000882	000882	40.2.23.w6
000883	000883	40.2.23.w7
000884	000884	40.2.23.w8
000885	000885	40.2.23.w9
000886	000886	40.2.23.w10
000887	000887	40.2.23.w11
000888	000888	40.2.23.w12
